V_norm,N7190621-0-1,N7190621-0-2,N7190621-0-3,N7190621-1,N7190621-1-1,N7190621-1-2,N7190621-1-3,N7190621-1-4,N7190621-2,N7190621-2-1,N7190621-2-2,N7190621-2-3,N7190621-2-4
0.76,0.331107,0.319889,0.32617,0.714881,0.684572,0.686975,0.68808,0.687034,0.506182,0.505394,0.501312,0.498269,0.490149
0.77,0.317454,0.306286,0.312794,0.690576,0.660525,0.663214,0.663983,0.663074,0.485728,0.485237,0.481369,0.478499,0.470411
0.78,0.303616,0.293696,0.300537,0.665541,0.635727,0.638014,0.639331,0.638635,0.465019,0.464669,0.461449,0.458253,0.450658
0.79,0.289779,0.280321,0.28675,0.639659,0.610347,0.612882,0.613824,0.613001,0.444639,0.444398,0.440969,0.438397,0.430853
0.8,0.275993,0.266301,0.273114,0.613129,0.584492,0.586835,0.587845,0.586987,0.423465,0.423462,0.420134,0.418245,0.410547
0.81,0.261997,0.252252,0.258741,0.585889,0.558151,0.560128,0.56124,0.560797,0.402701,0.402809,0.399652,0.397612,0.390111
0.82,0.247902,0.237873,0.243939,0.557728,0.531191,0.533047,0.533849,0.534141,0.381496,0.381761,0.37889,0.37681,0.369781
0.83,0.233912,0.223819,0.22727,0.529277,0.503694,0.505353,0.506169,0.506158,0.360221,0.360454,0.357971,0.356283,0.349118
0.84,0.219844,0.210997,0.212335,0.499538,0.475789,0.477187,0.478089,0.478223,0.33859,0.339148,0.336818,0.335392,0.328235
0.85,0.205786,0.196508,0.198802,0.470067,0.447513,0.44826,0.449563,0.449673,0.317078,0.317712,0.315662,0.313998,0.307608
0.86,0.191115,0.182577,0.185001,0.4398,0.418575,0.419115,0.420323,0.420553,0.295364,0.296379,0.294256,0.292879,0.286822
0.87,0.176564,0.168882,0.173562,0.408755,0.389252,0.389784,0.390807,0.391034,0.273524,0.274621,0.272564,0.271422,0.265521
0.88,0.162678,0.152802,0.1581,0.377622,0.359297,0.359534,0.360606,0.361199,0.251664,0.252548,0.25071,0.25022,0.244378
0.89,0.148417,0.139305,0.143447,0.345719,0.329476,0.329284,0.330502,0.33137,0.229253,0.230726,0.229292,0.228804,0.222857
0.9,0.134399,0.126199,0.128483,0.313597,0.299086,0.298773,0.299701,0.301061,0.207322,0.208551,0.207356,0.207108,0.201551
0.91,0.119888,0.112368,0.113707,0.281109,0.268063,0.267567,0.268567,0.27012,0.184677,0.186181,0.185583,0.185049,0.179786
0.92,0.105235,0.098856,0.100663,0.248082,0.236918,0.236342,0.237238,0.2386,0.162445,0.163982,0.163578,0.163228,0.158051
0.93,0.090583,0.08512,0.086028,0.21485,0.205467,0.204547,0.205386,0.207015,0.139851,0.141432,0.141492,0.140937,0.136169
0.94,0.076023,0.071136,0.072732,0.181291,0.17365,0.171826,0.17335,0.175185,0.117198,0.119006,0.119073,0.119109,0.114342
0.95,0.061431,0.056862,0.05888,0.147133,0.141449,0.139784,0.140994,0.142663,0.094426,0.096339,0.096342,0.09669,0.09233
0.96,0.046913,0.042596,0.045313,0.112981,0.108893,0.107268,0.108553,0.110581,0.071585,0.074315,0.073929,0.074586,0.070374
0.97,0.032249,0.028976,0.031178,0.078446,0.07656,0.074453,0.075684,0.07789,0.048606,0.051232,0.051639,0.052081,0.048215
0.98,0.01749,0.014765,0.017066,0.043464,0.043701,0.041025,0.042246,0.044594,0.025854,0.028425,0.028889,0.029649,0.026015
0.99,0.002822,0.000976,0.003177,0.008596,0.010457,0.007655,0.00905,0.010868,0.002713,0.005325,0.00612,0.006814,0.003698
1,0,0,0,0,0,0,0,0,0,0,0,0,0
