equipment,asset_code,original_amount_kntd,sets,maintenance_kntd,public_note
示波器年度校正,M004,60,1,2,"量測設備校正"
自動溫控玻璃窯（內腔65x45x10cm）,M001,10.5,1,3,"製程設備維護"
